imdb,metascore,movie,votes,year
5.9,56,Assassination Nation,9008,(2018)
6.0,67,Vox Lux,8940,(2018)
5.5,58,Wildling,8937,(2018)
5.7,35,Kin,8827,(I) (2018)
4.3,34,Siberia,8701,(2018)
6.1,40,Welcome to Marwen,8666,(2018)
5.2,56,Down a Dark Hall,8612,(2018)
5.5,26,Hell Fest,8595,(2018)
6.1,68,Prospect,8439,(2018)
6.8,75,The Kindergarten Teacher,8174,(2018)
7.1,79,Thunder Road,8087,(2018)
7.5,71,RBG,8001,(2018)
5.1,36,Sherlock Gnomes,7994,(2018)
6.5,58,The Man Who Killed Don Quixote,7954,(2018)
5.2,28,Acts of Violence,7947,(2018)
5.6,30,Billionaire Boys Club,7786,(2018)
7.4,75,Utøya: July 22,7727,(2018)
5.2,32,Father of the Year,7712,(2018)
7.6,87,Happy as Lazzaro,7685,(2018)
5.8,64,The Vanishing,7362,(2018)
6.2,57,Galveston,7354,(2018)
5.5,47,King of Thieves,7346,(2018)
6.5,53,The Command,7055,(2018)
7.2,73,Girl,7005,(II) (2018)
7.8,64,Hotel Mumbai,6944,(2018)
8.2,68,Active Measures,6943,(2018)
5.6,44,Spinning Man,6840,(2018)
4.9,35,Proud Mary,6773,(2018)
6.9,65,Black '47,6722,(2018)
5.2,29,A-X-L,6702,(2018)
5.0,36,Action Point,6611,(2018)
7.1,81,Mirai,6570,(2018)
6.9,65,Hearts Beat Loud,6496,(2018)
5.7,53,Final Score,6429,(2018)
6.4,63,Nappily Ever After,6264,(2018)
6.2,61,The Front Runner,6244,(2018)
6.5,48,Lords of Chaos,6131,(2018)
6.4,34,Irreplaceable You,6113,(2018)
6.0,50,La nuit a dévoré le monde,6088,(2018)
5.7,32,Acrimony,6049,(2018)
5.7,28,Little Italy,5985,(2018)
5.8,48,Mary Magdalene,5885,(2018)
4.7,1,Death of a Nation,5854,(2018)
6.5,62,Ideal Home,5837,(2018)
6.7,52,"Paul, Apostle of Christ",5640,(2018)
5.7,51,I Think We're Alone Now,5460,(2018)
6.0,60,The Mercy,5431,(2018)
6.1,39,Zoe,5386,(I) (2018)
6.2,70,Skjelvet,5202,(2018)
7.1,61,El Angel,5017,(2018)
5.6,67,The Little Stranger,4986,(2018)
4.4,21,211,4980,(2018)
5.7,31,I Still See You,4970,(2018)
8.0,74,Robin Williams: Come Inside My Mind,4908,(2018)
7.9,84,McQueen,4797,(2018)
6.8,37,The Professor,4791,(2018)
5.0,52,SuperFly,4696,(2018)
7.2,75,Whitney,4665,(2018)
6.2,49,The Catcher Was a Spy,4610,(2018)
8.1,90,Minding the Gap,4565,(2018)
7.7,69,Werk ohne Autor,4511,(2018)
6.9,78,The Other Side of the Wind,4480,(2018)
6.5,85,Support the Girls,4469,(2018)
5.6,51,The Man Who Killed Hitler and Then The Bigfoot,4466,(2018)
5.7,41,Arizona,4438,(2018)
6.2,71,The Land of Steady Habits,4379,(2018)
5.1,32,Mara,4350,(I) (2018)
7.7,85,Birds of Passage,4292,(2018)
3.2,10,Future World,4261,(2018)
4.8,24,Between Worlds,4206,(2018)
4.2,19,Reprisal,4175,(I) (2018)
5.8,59,Lizzie,4091,(2018)
5.3,39,Slaughterhouse Rulez,4061,(2018)
5.3,45,Our House,3974,(I) (2018)
7.0,81,Ying,3963,(2018)
5.9,76,The Breaker Upperers,3884,(2018)
5.9,62,Jonathan,3846,(2018)
6.8,43,Ashes in the Snow,3843,(2018)
6.7,66,Puzzle,3732,(II) (2018)
4.5,33,Looking Glass,3726,(I) (2018)
5.9,57,The Festival,3651,(2018)
5.7,54,Elizabeth Harvest,3634,(2018)
7.1,72,Hevi reissu,3583,(2018)
4.6,39,Nobody's Fool,3561,(2018)
7.5,70,Leto,3540,(2018)
4.4,17,Samson,3482,(2018)
6.4,54,Take Your Pills,3460,(2018)
3.7,31,Show Dogs,3450,(2018)
5.0,54,Kickboxer: Retaliation,3411,(2018)
7.0,86,Museo,3308,(2018)
6.5,44,The Miracle Season,3259,(2018)
7.0,84,Transit,3234,(I) (2018)
6.2,48,Backstabbing for Beginners,3231,(2018)
5.6,63,Piercing,3191,(2018)
6.3,64,The Happy Prince,3189,(2018)
5.7,66,What Keeps You Alive,3055,(2018)
6.2,60,The American Meme,3052,(2018)
5.4,63,St. Agatha,3041,(2018)
7.5,77,They'll Love Me When I'm Dead,3035,(2018)
6.5,80,Gloria Bell,3029,(2018)
4.7,16,Black Water,3016,(2018)
7.0,42,Back Roads,2990,(2018)
5.3,54,Blood Fest,2955,(2018)
6.2,38,Dead in a Week: Or Your Money Back,2932,(2018)
5.8,66,6 Balloons,2931,(2018)
7.4,88,Shirkers,2907,(2018)
7.6,81,Kona fer í stríð,2885,(2018)
5.5,49,The Legacy of a Whitetail Deer Hunter,2880,(2018)
5.6,52,The Dark,2875,(I) (2018)
4.3,16,London Fields,2825,(2018)
7.1,85,Jiang hu er nü,2820,(2018)
6.4,53,Benji,2770,(I) (2018)
6.9,44,Then Came You,2737,(2018)
5.7,59,Rust Creek,2700,(2018)
6.1,47,Dog Days,2663,(I) (2018)
4.5,33,God's Not Dead: A Light in Darkness,2648,(2018)
6.5,72,Yip Man ngoi zyun: Cheung Tin Chi,2637,(2018)
5.2,38,Welcome Home,2630,(I) (2018)
6.9,84,We the Animals,2602,(2018)
6.4,73,Le monde est à toi,2512,(2018)
5.3,58,The Oath,2483,(2018)
7.2,71,Unga Astrid,2467,(2018)
6.4,77,Madeline's Madeline,2445,(2018)
5.7,54,An Evening with Beverly Luff Linn,2438,(2018)
4.6,32,Scorched Earth,2385,(2018)
6.3,44,Swimming with Men,2379,(2018)
5.4,52,Puppet Master: The Littlest Reich,2361,(2018)
7.7,60,Quincy,2325,(2018)
5.6,66,The Wind,2299,(II) (2018)
6.8,72,Skate Kitchen,2278,(2018)
7.5,75,"Ruben Brandt, Collector",2271,(2018)
5.6,63,Damsel,2229,(I) (2018)
4.9,26,River Runs Red,2207,(2018)
5.5,31,Josie,2200,(2018)
5.5,49,At First Light,2199,(I) (2018)
5.7,44,Birthmarked,2166,(2018)
4.5,61,Slice,2074,(2018)
5.8,45,Boarding School,2067,(2018)
